Designator,Mid X,Mid Y,Rotation,Layer
C1,115.316,-86.642,270.0,top
C2,118.11,-84.328,0.0,top
C3,123.952,-77.978,270.0,top
C4,129.794,-90.17,45.0,top
C5,133.858,-82.042,315.0,top
C6,123.19,-86.868,135.0,top
C7,131.572,-76.2,135.0,top
C8,127.508,-78.232,315.0,top
C9,122.202,-79.756,0.0,top
D1,116.25,-77.25,180.0,top
D2,141.75,-77.25,180.0,top
D3,116.25,-101.25,180.0,top
D4,141.75,-101.25,180.0,top
D5,129.25,-125.25,180.0,top
F1,131.5,-69.75,90.0,top
J1,129.0,-61.25,180.0,top
J2,109.474,-81.534,0.0,top
R1,129.75,-68.5,270.0,top
R2,126.75,-68.5,270.0,top
R3,128.75,-68.5,270.0,top
R4,127.75,-68.5,270.0,top
R5,141.226,-83.82,180.0,top
SW1,116.21,-72.0,0.0,top
SW2,141.81,-72.0,0.0,top
SW3,116.33,-96.0,0.0,top
SW4,141.83,-96.0,0.0,top
SW5,129.0,-120.0,0.0,top
SW6,129.032,-106.274,0.0,top
U1,129.0,-84.0,315.0,top
Y1,118.11,-86.614,180.0,top
